"identifiant";"service";"nombre_augmentation";"nombre_promotion";"salaire_eqtp";"sexe";"conge_maternite_annee_precedente";"tranche_age"
0;"Marketing";0;0;9999.3833;"H";0;"[40;50["
1;"Compta Finances";0;0;9978.15;"H";0;"[40;50["
2;"Marketing";0;0;9940.2333;"H";0;"[40;50["
3;"RH";1;1;9928.1;"H";0;"[30;40["
4;"Consultant";0;0;9873.5;"F";0;"[40;50["
5;"Commercial";0;0;9785.5333;"H";0;"[30;40["
6;"Consultant";0;0;9782.5;"F";0;"[40;50["
7;"Commercial";1;0;9777.95;"F";0;"[40;50["
8;"Consultant";1;1;9737;"H";0;"50+"
9;"RH";0;0;9642.9667;"H";0;"50+"
10;"RH";1;0;9635.3833;"H";0;"[40;50["
11;"Informatique";1;0;9573.2;"H";0;"[40;50["
12;"Commercial";0;0;9573.2;"H";0;"[40;50["
13;"Commercial";1;0;9555;"F";0;"[30;40["
14;"Commercial";1;0;9497.3667;"F";0;"[40;50["
15;"Commercial";1;1;9488.2667;"H";0;"50+"
16;"Consultant";1;0;9447.3167;"H";0;"[40;50["
17;"Consultant";1;0;9426.0833;"F";0;"50+"
18;"Consultant";1;0;9400.3;"H";0;"50+"
19;"Informatique";1;1;9366.9333;"F";0;"[40;50["
20;"Compta Finances";1;0;9256.2167;"F";0;"50+"
21;"Marketing";0;0;9218.3;"F";0;"[40;50["
22;"Consultant";1;0;9162.1833;"F";0;"50+"
23;"Informatique";0;0;9096.9667;"H";0;"50+"
24;"Commercial";0;0;9069.6667;"H";0;"[40;50["
25;"RH";1;1;9039.333299999998;"H";0;"[30;40["
26;"RH";1;0;9691.5;"F";0;"[40;50["
27;"Commercial";0;1;8828.5167;"F";0;"[30;40["
28;"RH";0;1;8746.6167;"F";0;"[30;40["
29;"Informatique";0;0;8716.2833;"H";0;"[30;40["
30;"Commercial";1;0;8714.7667;"H";0;"50+"
31;"Marketing";1;0;8696.5667;"H";0;"50+"
32;"Compta Finances";0;0;8696.5667;"H";0;"50+"
33;"Compta Finances";1;0;8655.6167;"F";0;"[40;50["
34;"Commercial";0;0;8629.8333;"F";0;"[40;50["
35;"RH";0;0;8563.1;"H";0;"[40;50["
36;"Informatique";0;0;8458.45;"H";0;"[30;40["
37;"Commercial";1;0;8428.1167;"H";0;"50+"
38;"Compta Finances";0;1;8422.05;"F";0;"50+"
39;"Commercial";0;1;8337.1167;"H";0;"[30;40["
40;"Compta Finances";0;0;8332.5667;"F";0;"[30;40["
41;"Compta Finances";1;0;8328.0167;"F";0;"[30;40["
42;"RH";0;0;8277.9667;"H";0;"[30;40["
